UNITID_P,INSTNM,BRANCH,Address,City,State,Zip,sector_cd,sector_desc,men_total,women_total,Total,MURD6,NEG_M6,FORCIB6,NONFOR6,ROBBE6,AGG_A6,BURGLA6,VEHIC6,ARSON6,MURD7,NEG_M7,FORCIB7,NONFOR7,ROBBE7,AGG_A7,BURGLA7,VEHIC7,ARSON7,MURD8,NEG_M8,FORCIB8,NONFOR8,ROBBE8,AGG_A8,BURGLA8,VEHIC8,ARSON8,FILTER06,FILTER07,FILTER08
14753610,National-Louis University,Milwaukee Campus,"1110 N. Old World 3rd Street, Suite 300",Milwaukee,WI,53203,2,"Private nonprofit, 4-year or above",1436,5620,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
16789906,Springfield College,"SHS Milwaukee, WI","744 North 4th St., Suite 300",Milwaukee,WI,53203,2,"Private nonprofit, 4-year or above",1766,3040,4806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23819301,Alverno College,Alverno College,3400 S 43RD ST,Milwaukee,WI,532000000,2,"Private nonprofit, 4-year or above",52,2730,2782,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
23842102,Lakeside School of Massage Therapy,LAKESIDE SCHOOL OF MASSAGE THERAPY - MILWAUKEE,1726 N 1ST STREET,MILWAUKEE,WI,53212,5,"Private nonprofit, 2-year",10,71,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23843001,Cardinal Stritch University,Main Campus,6801 N YATES RD,MILWAUKEE,WI,532000000,2,"Private nonprofit, 4-year or above",1898,4344,6242,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23861609,Concordia University-Wisconsin,Concordia University Wisconsin-Milw Midtown Center,4135 N. 56th Street,Milwaukee,WI,532000000,2,"Private nonprofit, 4-year or above",2215,4334,6549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23861610,Concordia University-Wisconsin,"Concordia University-Wisconsin, Milwaukee South",1127 South 35th,Milwaukee,WI,53215,2,"Private nonprofit, 4-year or above",2215,4334,6549,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23893501,DeVry University-Wisconsin,Milwaukee Center,"411 E. Wisconsin Ave., Suite 300",MILWAUKEE,WI,532000000,3,"Private for-profit, 4-year or above",142,168,310,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23910501,Marquette University,Main Campus,"PO BOX 1881, 615 N 11TH ST",MILWAUKEE,WI,532000000,2,"Private nonprofit, 4-year or above",5551,6082,11633,0,0,1,0,2,0,12,0,0,0,0,1,0,3,5,26,2,0,0,0,0,0,2,0,26,1,0,1,1,1
23916901,Medical College of Wisconsin,Main Campus,8701 WATERTOWN PLANK RD,MILWAUKEE,WI,532000000,2,"Private nonprofit, 4-year or above",637,591,1228,0,0,2,1,0,1,0,1,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,1,1
23924801,Milwaukee Area Technical College,Milwaukee Campus,700 W STATE STREET,MILWAUKEE,WI,532000000,4,"Public, 2-year",8135,10645,18780,0,0,1,0,0,1,1,1,0,0,0,3,0,3,0,16,5,9,0,0,0,0,4,1,10,8,0,1,1,1
23930901,Milwaukee Institute of Art & Design,Milwaukee Institute of Art & Design,273 E ERIE ST,MILWAUKEE,WI,53202,2,"Private nonprofit, 4-year or above",301,368,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23931801,Milwaukee School of Engineering,Main Campus,1025 N BROADWAY,MILWAUKEE,WI,532000000,2,"Private nonprofit, 4-year or above",2138,483,2621,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,1,1
23939001,Mount Mary College,Main Campus,2900 N. MENOMONEE RIVER PKY,MILWAUKEE,WI,532000000,2,"Private nonprofit, 4-year or above",62,1800,1862,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
23992901,Bryant and Stratton College-Milwaukee,Main Campus,310 W. WISCONSIN AVENUE SUITE 500,MILWAUKEE,WI,532000000,3,"Private for-profit, 4-year or above",132,696,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
24021301,Wisconsin School of Professional Psychology,Main Campus,9120 W HAMPTON AVE,MILWAUKEE,WI,532000000,2,"Private nonprofit, 4-year or above",10,58,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
24033801,Wisconsin Lutheran College,Main Campus,8800 W BLUEMOUND RD,MILWAUKEE,WI,532000000,2,"Private nonprofit, 4-year or above",335,418,753,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,1
24045301,University of Wisconsin-Milwaukee,Main Campus,PO BOX 413,MILWAUKEE,WI,53211,1,"Public, 4-year or above",13604,15611,29215,0,0,4,0,3,2,37,0,1,0,0,3,0,5,1,35,3,0,0,0,7,0,3,2,37,2,1,1,1,1
37763401,Aurora St. Luke's Medical Center-School of Diagnostic Medical Sonography,AHC - Airport,180 West Grange Avenue,Milwaukee,WI,53207,8,"Private nonprofit, less-than 2-year",0,9,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
40843701,Aurora St. Luke Medical Center School of Radiologic Technology,Aurora Health Center - Airport,180 W. Grange Avenue,MILWAUKEE,WI,53207,5,"Private nonprofit, 2-year",5,29,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
43602101,Montessori Institute of Milwaukee,Main Campus,3195 S SUPERIOR ST STE L428,MILWAUKEE,WI,532000000,2,"Private nonprofit, 4-year or above",9,35,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
44865501,Kaplan College,Main Campus,111 W. Pleasant St-Ste 101,Milwaukee,WI,53212,9,"Private for-profit, less-than 2-year",63,615,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
44879801,Empire Beauty School-Milwaukee,Main Campus,5655 South 27th St,Milwaukee,WI,53221,6,"Private for-profit, 2-year",9,98,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
44986101,Milwaukee Career College,Main Campus,3077 N Mayfair Rd Ste 30,Milwaukee,WI,53224,9,"Private for-profit, less-than 2-year",11,125,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
45065001,The Institute of Beauty and Wellness,The Institute of Beauty and Wellness,342 North Water St,Milwaukee,WI,53202,6,"Private for-profit, 2-year",4,146,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
