UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD12,NEG_M12,FORCIB12,NONFOR12,ROBBE12,AGG_A12,BURGLA12,VEHIC12,ARSON12,MURD13,NEG_M13,FORCIB13,NONFOR13,ROBBE13,AGG_A13,BURGLA13,VEHIC13,ARSON13,MURD14,NEG_M14,RAPE14,FONDL14,INCES14,STATR14,ROBBE14,AGG_A14,BURGLA14,VEHIC14,ARSON14,FILTER12,FILTER13,FILTER14
147536010,National Louis University,Milwaukee Campus,"12000 W. Park Place, Suite 100",Milwaukee,WI,53224,2,"Private nonprofit, 4-year or above",925,3657,4582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
154493018,Upper Iowa University,UIU - Milwaukee,620 S. 76th St.,Milwaukee,WI,53214,2,"Private nonprofit, 4-year or above",2067,3095,5162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
167899006,Springfield College,"SHS Milwaukee, WI","744 North 4th St., Suite 300",Milwaukee,WI,53203,2,"Private nonprofit, 4-year or above",1398,1780,3178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
238193001,Alverno College,Alverno College,3400 S 43RD ST,Milwaukee,WI,532343922,2,"Private nonprofit, 4-year or above",75,2314,2389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1
238430001,Cardinal Stritch University,Main Campus,6801 N YATES RD,MILWAUKEE,WI,532173985,2,"Private nonprofit, 4-year or above",1358,2453,3811,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,1
238616009,Concordia University-Wisconsin,Concordia University Wisconsin-Milw Midtown Center,4151 N. 56th Street,Milwaukee,WI,532169909,2,"Private nonprofit, 4-year or above",2570,5591,8161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
239105001,Marquette University,Main Campus,1250 W. Wisconsin Ave,Milwaukee,WI,532011881,2,"Private nonprofit, 4-year or above",5578,6167,11745,0,0,7,0,0,7,13,0,0,0,0,7,0,2,4,13,0,0,0,0,6,9,0,0,2,0,11,1,1,1,1,1
239169001,Medical College of Wisconsin,Main Campus,8701 WATERTOWN PLANK RD,MILWAUKEE,WI,532260509,2,"Private nonprofit, 4-year or above",630,579,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
239248001,Milwaukee Area Technical College,Milwaukee Campus,700 W STATE STREET,MILWAUKEE,WI,532331443,4,"Public, 2-year",7330,9382,16712,0,0,1,0,4,1,0,1,0,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0,2,0,2,1,0,1,1,1
239309001,Milwaukee Institute of Art & Design,Milwaukee Institute of Art & Design,273 E ERIE ST,MILWAUKEE,WI,53202,2,"Private nonprofit, 4-year or above",205,417,622,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
