UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD15,NEG_M15,RAPE15,FONDL15,INCES15,STATR15,ROBBE15,AGG_A15,BURGLA15,VEHIC15,ARSON15,MURD16,NEG_M16,RAPE16,FONDL16,INCES16,STATR16,ROBBE16,AGG_A16,BURGLA16,VEHIC16,ARSON16,MURD17,NEG_M17,RAPE17,FONDL17,INCES17,STATR17,ROBBE17,AGG_A17,BURGLA17,VEHIC17,ARSON17,FILTER15,FILTER16,FILTER17
154493018,Upper Iowa University,UIU - Milwaukee,620 S. 76th St. Suite 100,Milwaukee,WI,53214,2,"Private nonprofit, 4-year or above",1850,3093,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
167899006,Springfield College,"SHS Milwaukee, WI","744 North 4th St., Suite 300",Milwaukee,WI,53203,2,"Private nonprofit, 4-year or above",1430,1816,3246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
238193001,Alverno College,Alverno College,3400 S 43RD  ST,Milwaukee,WI,532343922,2,"Private nonprofit, 4-year or above",59,1883,1942,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,3,0,1,1,1
238430001,Cardinal Stritch University,Main Campus,6801 N YATES RD,MILWAUKEE,WI,532173985,2,"Private nonprofit, 4-year or above",775,1580,2355,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
238616009,Concordia University-Wisconsin,Concordia University Wisconsin-Milw Midtown Center,4151 N. 56th Street,Milwaukee,WI,532169909,2,"Private nonprofit, 4-year or above",2284,5004,7288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
238980002,Lakeland University,Milwaukee Center,"9000 W. Chester Street, Suite 300",Milwaukee,WI,53214,2,"Private nonprofit, 4-year or above",1041,1638,2679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
239105001,Marquette University,Main Campus,1250 W. Wisconsin Ave,Milwaukee,WI,532011881,2,"Private nonprofit, 4-year or above",5331,6095,11426,0,0,4,3,0,0,1,0,16,0,1,0,0,4,0,0,0,5,1,5,0,0,0,0,2,2,0,0,1,3,8,2,0,1,1,1
239169001,Medical College of Wisconsin,Main Campus,8701 WATERTOWN PLANK RD,MILWAUKEE,WI,532260509,2,"Private nonprofit, 4-year or above",736,649,1385,0,0,0,0,0,0,0,17,81,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
239248001,Milwaukee Area Technical College,Milwaukee Campus,700 W STATE STREET,MILWAUKEE,WI,532331443,4,"Public, 2-year",6268,7744,14012,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1
239309001,Milwaukee Institute of Art & Design,Milwaukee Institute of Art & Design,273 E ERIE ST,MILWAUKEE,WI,53202,2,"Private nonprofit, 4-year or above",200,460,660,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1
239318001,Milwaukee School of Engineering,Main Campus,1025 N BROADWAY,MILWAUKEE,WI,532023109,2,"Private nonprofit, 4-year or above",2050,773,2823,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1
239390001,Mount Mary University,Main Campus,2900 N. MENOMONEE RIVER PKY,MILWAUKEE,WI,532224597,2,"Private nonprofit, 4-year or above",62,1337,1399,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
239929001,Bryant & Stratton College-Milwaukee,Main Campus,310 W. WISCONSIN AVENUE SUITE 500E,MILWAUKEE,WI,532032214,3,"Private for-profit, 4-year or above",23,129,152,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
240213001,Wisconsin School of Professional Psychology,Main Campus,9120 W HAMPTON AVE,MILWAUKEE,WI,532254960,2,"Private nonprofit, 4-year or above",16,62,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
240338001,Wisconsin Lutheran College,Main Campus,8800 W BLUEMOUND RD,MILWAUKEE,WI,532264699,2,"Private nonprofit, 4-year or above",497,617,1114,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1
240453001,University of Wisconsin-Milwaukee,Main Kenwood Campus,PO BOX 413,MILWAUKEE,WI,53211,1,"Public, 4-year or above",11522,13466,24988,0,0,3,1,0,0,1,0,10,0,0,0,0,5,3,0,0,1,0,16,1,1,0,0,17,10,0,0,1,0,12,2,3,1,1,1
240453002,University of Wisconsin-Milwaukee,Public Health Campus,1240 N 10th Street,Milwaukee,WI,53205,1,"Public, 4-year or above",11522,13466,24988,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
